Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Pakistan,,64,63,57.73972603,62,58,60,58.31232877,57.33561644,58.02076503,64.605,69.035,64.926,67,68.62588767,69.46551233,75.13026301,68.63757923,66.68938082,69.15810137,70.172,75.172,85.17200000000001,98.17200000000001,94.38569863,89.67473224,93.89254795,93.74460274
Trinidad and Tobago,,142,141,138.6,138.8465753,138.179235,132.1369863,130.6287671,139.3189041,141.1042077,133.9310438,145.1390795,162.2632411,151.967347,171.4804,178.2360548,157.0221808,156.646082,152.6558877,145.3674658,135.8713014,116.9522514,115.6028685,114.1152822,108.7728521,96.96860929,98.73116164,87.08102192
France,,70,68,69.15342466,62.25479452,55.16393443,45.56575342,39.89315068,41.75287671,44.00273224,40.17808219,38.98630137,39.38219178,39.16120219,35.40273973,38.9369863,24.33150685,25.5,26.15068493,87.89593151,84.41513699,86.69636612,90.32173973,92.6699863,96.10223288,99.45903279,84.07612329,84.49530137
Bolivia,,28,29,30.5,34.49178082,36.86393443,37.13835616,43.6,40.4,39.39349727,43.8669863,46.20024943,41.71219659,60.01241156,61.35046301,59.65666301,60.45928219,50.13811749,45.18970137,47.16994247,48.56831233,56.61536612,64.17617808,67.97966027,72.95047397,76.51586885,76.34690411,76.5140274
Romania,,143,137,141.6164384,141,142,140.4,138.3438356,132.2109589,128.4180328,131.214,130.706,123.961,121.2486339,112.3068493,103.6602904,102.7342712,104.4296066,100.1769041,95.14586301,95.17413973,91.29998634,93.98862466,92.81067123,90.49779452,84.05783607,78.33272603,75.67793151
Cameroon,,140,127,107.9452055,111,108.0163934,124,121,100,84.82240437,76.64657534,69.81917808,67,65.98907104,82.31506849,86.40273973,82.82739726,81.32513661,76.90410959,65,61.66027397,63.0,62.75616438,75.0,98.0,92.0,75.71780822,69.0
Netherlands,,67,67,103.2273973,86.97260274,81.23770492,76.74246575,79.0739726,59.08493151,54.58,46.20273973,65.14794521,64.94794521,61.23825137,49.84246575,41.97328767,67.05753425,52.49180328,46.25479452,44.69158904,51.45572603,67.40026776,63.70646575,75.28052055,72.71910959,57.78643169,58.74212329,58.28458904
Turkey,,84,76,72,67.47945205,67.17759563,67.91780822,65.25479452,59.09863014,52.676,48,46.6739726,45.16986301,42.42076503,44.17123288,43.25890411,42.00273973,42.68469945,47.20547945,48.4769863,46.0639863,45.60183060000001,47.56983562,49.67723288,51.32858904,52.34526776,51.66060274,57.41950685
Uzbekistan,,66,85,114.9972603,159.9835616,164.8196721,157.6027397,160.9945205,146.939726,151.3387978,154,151.9534247,155.0410959,141,123.9030137,106.9780822,112,108.0765027,70.38996712,89.9816274,101.0849315,100.8306011,93.0,82.38082192,77.13150685,69.91256831,62.06027397,54.24657534
Cote dIvoire (IvoryCoast),,1.5,0.5,6.8,8.023287671,16,18.76712329,20,15,11.49726776,11,12,19,26,39,62,52,59.16502732,57.81726027,43.83287671,39.5890411,37.91530055,37.0,36.0,29.0,49.0,54.0,52.0
Cuba,,18,22,26,27.76712329,32,32.7,33.5,40,43.1,51,48.29589041,56.16712329,58.93,53.069,52.144,50.939,52.546,48.535,58.251,60.148,57.37850273,54.988,54.943000000000005,52.24,51.64233333,51.809,51.809
Ukraine,,96,92,93,91,92,93,88,85,82,83,84,88,96,98,101,99,91.98231148,86.73810411,77.53714247,73.17563562,74.67767213,69.25674247,60.78703562,54.6420137,51.20543716,48.61979452,51.54856164
Bahrain,,44,53,54,51,45,51,48,48,48.37,47.3,47.257,47.632,48,45,46,46,46,46,44,45,52.0,58.0,60.50410959,62.0,60.0,56.0,51.0
Poland,,3.2,5,5,4.6,5,6,7.4,11,14.41803279,16.56164384,16.3260274,16.12876712,27.65300546,31.09863014,33.4,27.58082192,28.07923497,25.34520548,30.29958904,29.02867123,35.70663934,46.32165753,47.42853425,47.06443836,44.32582514,44.19728767,45.80276712
Tunisia,,114,102,95.68493151,90.15068493,87.99453552,84.94794521,81.25205479,84.32328767,80.73213115,72.628,78.79521918,77.606,81.76229508,77,78.43835616,86.30273973,85.93911202,81.3708137,78.93066027,67.32914247,66.29428689,64.14794521,53.59726027,40.0,42.0,42.61643836,44.6
Papua New Guinea,,53,126,109.7561644,100.0575342,103.3606557,80.09863014,79.0630137,96.65753425,70.062,67.5,55.15342466,50.49315068,45.57923497,40.28136986,48.49589041,38.4630137,41.35519126,39.54794521,30.79452055,29.16164384,27.33060109,22.96164384,49.6,57.50136986,55.99180328,50.49041096,44.57260274
"Korea, South",,0,0,0,0,0,6,8,9,13,12,11,10,9,10.2,11.9,13.91780822,14.32786885,18.76164384,27.48,26.11,27.605999999999998,25.893,27.313000000000002,20.0,33.573,34.275,34.275
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,0,51.90983607,94.42465753,100.9863014,100,100,94.79178082,87.9890411,83.74246575,79.49453552,79.25753425,74.23287671,62.06027397,49.23770492,40.31780822,32.90684932
Spain,,31,24,21,16.83287671,10.3442623,7.6,11,6.079452055,6.35136612,8.698630137,9.91,11.597,12.19726776,11.29315068,11.19452055,2.747945205,2.666666667,4.336986301,29.06260274,26.76012329,23.48973224,39.48898629999999,37.75431507,34.71405479,35.89466667,33.35105479,32.84420548
Hungary,,46,45,60.33424658,58,60.32513661,65.4,50,46.48493151,46.56953552,45.7240411,38.35068493,40.9,42.8579235,37.26712329,34.42431233,27.56438356,32.57923497,30.4109589,30.25712329,26.56608219,29.86137158,31.631999999999998,26.01289041,29.03,31.16433333,31.20373973,32.70236986
Belarus,,40,40,39.75068493,38.58082192,36.16120219,36.34246575,36.41643836,36.5890411,37,37,36.50684932,36.4,36.33333333,35,35,35,35.2,33.5,30.76,30.62,30.66,30.52,30.56,26.08493151,32.66666667,32.0,31.24657534
New Zealand,,55,58,54.77534247,45.32876712,44.52185792,65.55205479,54.51780822,49.95890411,45,41.16438356,38.2390411,28.99178082,25.01748634,24.97808219,23.08493151,45.07205479,62.87693989,58.76383562,58.05986301,49.86450685,45.99163388,39.53875342,46.93369863,47.64793151,41.12677596,37.88493151,30.89863014
Syria,,483,562,567.8219178,587.9726027,605.5901639,584.2328767,576.369863,562.2739726,550.8251366,517.94,525.227,513.9808219,491.0561339,467.0375041,441.3766822,415,404.2986038,403.0037753,420.2739616,373.3753425,170.2295082,74.82191781,32.40821918,38.0,36.66666667,20.74246575,30.0
Austria,,24,22,21.7,23.60410959,22.49726776,19.7,21.40410959,19,20.4,21.06849315,22.15753425,21.51506849,22.17923497,20.41643836,22.15342466,22.91780822,22.74590164,23.4,31.96691781,32.18353425,32.52453552,23.54090411,27.10186301,28.32589041,24.55920219,24.45353425,23.43161644
Philippines,,8,9.1,6.113972603,3.361643836,2,1,0.8,0.9,1.144,8.460273973,9.852,13.781,25,25.2,25.4,25.22230411,25.66149454,37.5,35.312,36.359,32.981,38.907,42.93600000000001,30.53028767,27.843000000000004,22.848000000000003,21.18224658
Mongolia,,0,0,0,0,0,0,0.1,0.2,0.179,0.202,0.381,0.501,0.589,0.55,1.032,2.329,3.208,5.123,5.976,6.98329589,9.934508197000001,14.05149589,20.28802466,23.176558899999996,23.42622951,20.0,20.0
Belgium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.49,0,0,0,10.34,11.452,10.873,10.956,14.562999999999999,10.725,10.542,18.274,18.274
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,16.5,17,18.5,21,18.58082192,16.99726776,18.49589041,17.83835616,21.32876712,21.0,19.74246575,18.24383562
Congo (Kinshasa),,26,25,26.26027397,30,30,28.32876712,26.83835616,22,26,24,22.66575342,22,21.08469945,19.74794521,20,22.15616438,19.95765027,22,21,20.16164384,20.0,20.0,20.0,20.0,20.0,19.16164384,17.0
Suriname,,5,5,6,7.028767123,7.49726776,5,7,10,10,10,10,10,10,10,11.59921918,13.53577534,15.84210383,16,16,16,15.83333333,15.0,15.0,17.0,17.0,17.0,17.0
Estonia,,0,0,0,0,0,7.3,4.4,3,4.747,5.1,5.5,6.1,6.562,6.9,7.28,7.400021918,7.6,9,10,11,11.0,13.0,13.0,16.0,16.0,16.0,16.0
Yemen,,182,220,335.2191781,344.9589041,340.4371585,362.2164384,388.0684932,409.1506849,437.7560492,440.8720822,439.3538795,429.3954658,404.3811967,400.1455425,374.9071534,318.6921342,298.3293415,285.1566192,279.9965753,216.3890411,168.726776,130.6986301,125.0082192,47.6,21.66666667,12.26027397,16.0
